19:14:04 : INFO : adding document #790000 to Dictionary(3736928 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:14:28 : INFO : adding document #800000 to Dictionary(3760728 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:14:52 : INFO : adding document #810000 to Dictionary(3784867 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:15:18 : INFO : adding document #820000 to Dictionary(3805544 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:15:42 : INFO : adding document #830000 to Dictionary(3826411 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:16:06 : INFO : adding document #840000 to Dictionary(3849026 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:16:29 : INFO : adding document #850000 to Dictionary(3871985 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'olivierre', u'maderista']...)
19:16:53 : INFO : adding document #860000 to Dictionary(3893074 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'olivierre', u'maderista']...)
19:17:16 : INFO : adding document #870000 to Dictionary(3915698 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'olivierre', u'maderista']...)
19:17:38 : INFO : adding document #880000 to Dictionary(3937526 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'olivierre', u'maderista']...)
19:18:01 : INFO : adding document #890000 to Dictionary(3956679 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'olivierre', u'maderista']...)
19:18:24 : INFO : adding document #900000 to Dictionary(3978312 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'olivierre', u'maderista']...)
19:18:48 : INFO : adding document #910000 to Dictionary(3996970 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'olivierre', u'maderista']...)
19:19:11 : INFO : adding document #920000 to Dictionary(4015967 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'olivierre', u'maderista']...)
19:19:35 : INFO : adding document #930000 to Dictionary(4036426 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:19:57 : INFO : adding document #940000 to Dictionary(4056091 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:20:23 : INFO : adding document #950000 to Dictionary(4073991 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:20:46 : INFO : adding document #960000 to Dictionary(4093505 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:21:09 : INFO : adding document #970000 to Dictionary(4116673 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:21:32 : INFO : adding document #980000 to Dictionary(4142203 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:21:55 : INFO : adding document #990000 to Dictionary(4167713 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:22:19 : INFO : adding document #1000000 to Dictionary(4192365 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:22:42 : INFO : adding document #1010000 to Dictionary(4212482 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:23:04 : INFO : adding document #1020000 to Dictionary(4235440 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:23:26 : INFO : adding document #1030000 to Dictionary(4255098 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:23:47 : INFO : adding document #1040000 to Dictionary(4280622 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:24:13 : INFO : adding document #1050000 to Dictionary(4305075 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:24:37 : INFO : adding document #1060000 to Dictionary(4325802 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:25:01 : INFO : adding document #1070000 to Dictionary(4343482 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:25:23 : INFO : adding document #1080000 to Dictionary(4361516 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:25:44 : INFO : adding document #1090000 to Dictionary(4378930 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:26:07 : INFO : adding document #1100000 to Dictionary(4397674 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:26:29 : INFO : adding document #1110000 to Dictionary(4413863 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:26:51 : INFO : adding document #1120000 to Dictionary(4434318 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:27:10 : INFO : adding document #1130000 to Dictionary(4451591 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:27:31 : INFO : adding document #1140000 to Dictionary(4469880 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:27:52 : INFO : adding document #1150000 to Dictionary(4485788 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:28:15 : INFO : adding document #1160000 to Dictionary(4503026 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:28:36 : INFO : adding document #1170000 to Dictionary(4520706 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:29:01 : INFO : adding document #1180000 to Dictionary(4537700 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:29:22 : INFO : adding document #1190000 to Dictionary(4555436 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:29:44 : INFO : adding document #1200000 to Dictionary(4574321 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:30:06 : INFO : adding document #1210000 to Dictionary(4593692 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:30:29 : INFO : adding document #1220000 to Dictionary(4610308 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:30:50 : INFO : adding document #1230000 to Dictionary(4626608 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:31:12 : INFO : adding document #1240000 to Dictionary(4644236 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:31:34 : INFO : adding document #1250000 to Dictionary(4664719 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:31:57 : INFO : adding document #1260000 to Dictionary(4682013 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:32:19 : INFO : adding document #1270000 to Dictionary(4698068 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:32:43 : INFO : adding document #1280000 to Dictionary(4715462 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:33:06 : INFO : adding document #1290000 to Dictionary(4730506 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:33:29 : INFO : adding document #1300000 to Dictionary(4745979 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:33:51 : INFO : adding document #1310000 to Dictionary(4762284 unique tokens: [u'tripolitan', u'chryssikos', u'billycorgan', u'tripolitai', u'olivierre']...)
19:34:15 : INFO : adding document #1320000 to Dictionary(4779868 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:34:38 : INFO : adding document #1330000 to Dictionary(4799240 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:35:01 : INFO : adding document #1340000 to Dictionary(4815669 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:35:23 : INFO : adding document #1350000 to Dictionary(4838297 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:35:45 : INFO : adding document #1360000 to Dictionary(4853350 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:36:07 : INFO : adding document #1370000 to Dictionary(4869684 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:36:29 : INFO : adding document #1380000 to Dictionary(4886922 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:36:50 : INFO : adding document #1390000 to Dictionary(4900740 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:37:13 : INFO : adding document #1400000 to Dictionary(4916700 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:37:36 : INFO : adding document #1410000 to Dictionary(4936985 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:37:59 : INFO : adding document #1420000 to Dictionary(4954768 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:38:21 : INFO : adding document #1430000 to Dictionary(4972499 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
